species_tree,fam_species,order_species,sc,habitat,long_x,lat_y,b_nisc,g_nisc,p_nisc,nisc
Abeillia_abeillei,Trochilidae,Caprimulgiformes,1,1,-89.79308451,15.28957033,0,0,0,0
Aburria_aburri,Cracidae,Galliformes,1,1,-75.22664906,-2.801676702,0,0,0,0
Accipiter_albogularis,Accipitridae,Accipitriformes,0,6,158.5362667,-8.227145823,0,0,0,0
Accipiter_badius,Accipitridae,Accipitriformes,0,6,42.41505756,7.246197276,0,0,0,0
Accipiter_bicolor,Accipitridae,Accipitriformes,0,3,-59.89273414,-10.56392174,0,0,0,0
Accipiter_brachyurus,Accipitridae,Accipitriformes,0,1,150.5282727,-5.539056481,0,0,0,0
Accipiter_brevipes,Accipitridae,Accipitriformes,0,6,39.18376381,45.50689305,0,0,0,0
Accipiter_butleri,Accipitridae,Accipitriformes,0,1,93.38568206,7.940611444,0,0,0,0
Accipiter_castanilius,Accipitridae,Accipitriformes,0,6,18.26968787,-0.798000639,0,0,0,0
Accipiter_chilensis,Accipitridae,Accipitriformes,0,6,-59.89273414,-10.56392174,0,0,0,0
Accipiter_cirrocephalus,Accipitridae,Accipitriformes,0,6,137.3526373,-23.94119156,0,0,0,0
Accipiter_collaris,Accipitridae,Accipitriformes,0,1,-75.92315261,-3.184178473,0,0,0,0
Accipiter_cooperii,Accipitridae,Accipitriformes,0,6,-99.81909828,40.29626815,0,0,0,0
Accipiter_erythrauchen,Accipitridae,Accipitriformes,0,6,128.2043048,-1.286550169,0,0,0,0
Accipiter_erythropus,Accipitridae,Accipitriformes,0,3,10.37981469,3.521646384,0,0,0,0
Accipiter_fasciatus,Accipitridae,Accipitriformes,0,6,135.0379616,-24.90326521,0,0,0,0
Accipiter_francesiae,Accipitridae,Accipitriformes,0,6,46.67881479,-19.4653542,0,0,0,0
Accipiter_gentilis,Accipitridae,Accipitriformes,0,1,18.21345565,56.92983526,0,0,0,0
Accipiter_griseiceps,Accipitridae,Accipitriformes,0,6,121.1416233,-1.802327216,0,0,0,0
Accipiter_gularis,Accipitridae,Accipitriformes,0,6,115.5960868,47.88379319,0,0,0,0
Accipiter_gundlachi,Accipitridae,Accipitriformes,0,6,-77.24815153,21.00579502,0,0,0,0
Accipiter_haplochrous,Accipitridae,Accipitriformes,0,6,165.48473,-21.33462891,0,0,0,0
Accipiter_henicogrammus,Accipitridae,Accipitriformes,0,1,128.0107613,0.880712879,0,0,0,0
Accipiter_henstii,Accipitridae,Accipitriformes,0,6,46.68106285,-19.47632222,0,0,0,0
Accipiter_hiogaster,Accipitridae,Accipitriformes,0,6,NA,NA,0,0,0,0
Accipiter_imitator,Accipitridae,Accipitriformes,0,1,156.4762972,-6.77883481,0,0,0,0
Accipiter_luteoschistaceus,Accipitridae,Accipitriformes,0,6,150.2579075,-5.608437715,0,0,0,0
