Longitude,Latitude,species_tree,sc,b_nisc,g_nisc,p_nisc,nisc,nisc_count,category,country,region,subregion
93.38568206,7.940611444,Accipiter_butleri,0,0,0,0,0,0,absence,India,Asia,Southern Asia
128.2043048,-1.286550169,Accipiter_erythrauchen,0,0,0,0,0,0,absence,Indonesia,Asia,South-Eastern Asia
156.4762972,-6.77883481,Accipiter_imitator,0,0,0,0,0,0,absence,Solomon Islands,Oceania,Melanesia
121.294161,-0.946891401,Accipiter_nanus,0,0,0,0,0,0,absence,Philippines,Asia,South-Eastern Asia
151.0385553,-5.350507539,Accipiter_princeps,0,0,0,0,0,0,absence,Papua New Guinea,Oceania,Melanesia
178.4845017,-17.45062841,Accipiter_rufitorques,0,0,0,0,0,0,absence,Fiji,Oceania,Melanesia
108.3954651,1.694470768,Aceros_comatus,0,0,0,0,0,0,absence,Indonesia,Asia,South-Eastern Asia
108.0196773,0.508794263,Aceros_corrugatus,0,0,0,0,0,0,absence,Indonesia,Asia,South-Eastern Asia
94.28929563,13.43480204,Aceros_narcondami,0,0,0,0,0,0,absence,India,Asia,Southern Asia
103.8811366,10.07648946,Aceros_undulatus,0,0,0,0,0,0,absence,Cambodia,Asia,South-Eastern Asia
108.6126357,1.278679266,Actenoides_concretus,1,1,1,0,1,2,multi,Indonesia,Asia,South-Eastern Asia
121.799187,14.70629029,Actenoides_lindsayi,1,1,1,0,1,2,multi,Philippines,Asia,South-Eastern Asia
165.5531793,55.04055956,Aethia_cristatella,0,0,0,0,0,0,absence,Russia,Europe,Eastern Europe
-31.99060026,55.86773159,Aethia_psittacula,0,0,0,0,0,0,absence,High Sea,NA,NA
177.2491167,56.49908394,Aethia_pusilla,0,0,0,0,0,0,absence,High Sea,NA,NA
164.8853569,53.6974729,Aethia_pygmaea,0,0,0,0,0,0,absence,Russia,Europe,Eastern Europe
-20.66516674,62.40857442,Alca_torda,0,0,0,0,0,0,absence,Faroe Islands,Europe,Northern Europe
108.9708899,-6.405345217,Alcedo_coerulescens,1,1,0,0,1,1,blue,Indonesia,Asia,South-Eastern Asia
121.7444367,14.58804371,Alcedo_cyanopectus,1,1,0,0,1,1,blue,Philippines,Asia,South-Eastern Asia
107.8513434,1.052480907,Alcedo_euryzona,1,1,0,0,1,1,blue,Indonesia,Asia,South-Eastern Asia
101.9203865,10.63359723,Alcedo_meninting,1,1,0,0,1,1,blue,Cambodia,Asia,South-Eastern Asia
150.7870042,-4.378979399,Alcedo_websteri,1,1,0,0,1,1,blue,Papua New Guinea,Oceania,Melanesia
17.23206886,43.09608648,Alectoris_graeca,1,1,0,0,1,1,blue,Bosnia and Herzegovina,Europe,Southern Europe
55.51528204,-4.574270981,Alectroenas_pulcherrimus,0,0,0,0,0,0,absence,Seychelles,Africa,Eastern Africa
44.12085851,-11.87291746,Alectroenas_sganzini,0,0,0,0,0,0,absence,Mayotte,Africa,Eastern Africa
131.2302701,-1.904589546,Alisterus_amboinensis,1,1,1,0,1,2,multi,Australia,Oceania,Australia and New Zealand
45.892394,78.23487317,Alle_alle,0,0,0,0,0,0,absence,Russia,Europe,Eastern Europe
122.2758562,-0.471088153,Amaurornis_isabellina,0,0,0,0,0,0,absence,Philippines,Asia,South-Eastern Asia
141.8118036,-9.98988823,Amaurornis_moluccana,0,0,0,0,0,0,absence,Northern Mariana Islands,Oceania,Micronesia
-81.85981937,10.83316309,Amazilia_tzacatl,1,0,0,0,0,0,sc,Panama,Americas,Central America
-93.63426943,20.42039525,Amazilia_yucatanensis,1,0,0,0,0,0,sc,Mexico,Americas,Central America
-83.51071658,11.38798378,Amazona_autumnalis,1,1,1,1,1,3,multi,Nicaragua,Americas,Central America
-48.03943948,-25.12629239,Amazona_brasiliensis,1,1,1,1,1,3,multi,Brazil,Americas,South America
-65.81740527,18.28824837,Amazona_vittata,1,1,1,0,1,2,multi,Puerto Rico,Americas,Caribbean
172.1691597,-39.12817398,Anas_chlorotis,1,0,0,0,0,0,sc,New Zealand,Oceania,Australia and New Zealand
20.6799535,57.61847942,Anas_clypeata,1,1,0,0,1,1,blue,Latvia,Europe,Eastern Europe
-94.37748846,9.968447899,Anas_cyanoptera,1,0,0,0,0,0,sc,High Sea,NA,NA
67.22202769,-48.91147347,Anas_eatoni,1,0,0,0,0,0,sc,French Southern and Antarctic Lands,Antarctica,NA
-88.2950724,28.1637206,Anas_fulvigula,1,0,0,0,0,0,sc,Belize,Americas,Central America
114.1638073,-3.891020071,Anas_gibberifrons,1,0,0,0,0,0,sc,Indonesia,Asia,South-Eastern Asia
-171.7313344,25.76432794,Anas_laysanensis,1,0,0,0,0,0,sc,United States,Americas,Northern America
-157.3319781,20.91718518,Anas_wyviliana,1,0,0,0,0,0,sc,United States,Americas,Northern America
94.08889843,15.13890264,Anhinga_melanogaster,0,0,0,0,0,0,absence,India,Asia,Southern Asia
108.266188,1.158145025,Anorrhinus_galeritus,0,0,0,0,0,0,absence,Indonesia,Asia,South-Eastern Asia
-63.450069,18.594606,Anous_minutus,0,0,0,0,0,0,absence,Anguilla,Americas,Caribbean
-129.7643225,13.66751432,Anous_stolidus,0,0,0,0,0,0,absence,France,Americas,Northern America
57.22443735,-19.10440187,Anous_tenuirostris,0,0,0,0,0,0,absence,Seychelles,Africa,Eastern Africa
-19.66689803,72.45242966,Anser_brachyrhynchus,0,0,0,0,0,0,absence,High Sea,NA,NA
-88.20895633,15.84303896,Anthracothorax_prevostii,1,0,0,0,0,0,sc,Belize,Americas,Central America
-14.19685016,-51.386462,Aptenodytes_patagonicus,1,1,0,0,1,1,blue,Falkland Islands (Malvinas),Americas,South America
-24.32712229,15.82109369,Apus_alexandri,0,0,0,0,0,0,absence,Cape Verde,Africa,Western Africa
5.391444951,4.721650524,Apus_batesi,0,0,0,0,0,0,absence,Nigeria,Africa,Western Africa
-15.72749936,28.81316454,Apus_unicolor,0,0,0,0,0,0,absence,Spain,Europe,Southern Europe
-79.33460568,7.846179536,Ara_ambiguus,1,1,1,0,1,2,multi,Panama,Americas,Central America
-78.43371646,12.06596237,Aramides_axillaris,0,0,0,0,0,0,absence,Colombia,Americas,South America
-77.50401937,5.377634596,Aramides_wolfi,0,0,0,0,0,0,absence,Colombia,Americas,South America
121.5153098,-0.821445768,Aramidopsis_plateni,0,0,0,0,0,0,absence,Philippines,Asia,South-Eastern Asia
-79.99853198,-2.954521625,Aratinga_erythrogenys,1,0,1,0,1,1,green,Panama,Americas,Central America
-97.05542604,20.86536294,Aratinga_holochlora,1,0,1,0,1,1,green,Mexico,Americas,Central America
59.39878815,25.27094365,Ardea_cinerea,0,0,0,0,0,0,absence,Estonia,Europe,Eastern Europe
50.7136432,12.52877172,Ardea_purpurea,0,0,0,0,0,0,absence,Somalia,Africa,Eastern Africa
126.1411454,-4.102774682,Ardea_sumatrana,0,0,0,0,0,0,absence,Indonesia,Asia,South-Eastern Asia
-127.7904311,72.64554552,Arenaria_interpres,0,0,0,0,0,0,absence,Canada,Americas,Northern America
-163.3009462,63.59367442,Arenaria_melanocephala,0,0,0,0,0,0,absence,United States,Americas,Northern America
108.3932476,1.095597419,Argusianus_argus,0,0,0,0,0,0,absence,Indonesia,Asia,South-Eastern Asia
-12.68223808,-37.30226508,Atlantisia_rogersi,0,0,0,0,0,0,absence,Saint Helena,Africa,Southern Africa
107.2402525,6.490952114,Aviceda_jerdoni,0,0,0,0,0,0,absence,Indonesia,Asia,South-Eastern Asia
108.4820589,5.836207839,Batrachostomus_affinis,0,0,0,0,0,0,absence,Indonesia,Asia,South-Eastern Asia
104.8010938,4.662420291,Batrachostomus_javensis,0,0,0,0,0,0,absence,Malaysia,Asia,South-Eastern Asia
108.8747657,2.077520654,Batrachostomus_poliolophus,0,0,0,0,0,0,absence,Indonesia,Asia,South-Eastern Asia
-85.01822846,9.394878356,Bolborhynchus_lineola,1,0,1,0,1,1,green,Costa Rica,Americas,Central America
-174.7320766,55.84619375,Brachyramphus_marmoratus,0,0,0,0,0,0,absence,United States,Americas,Northern America
154.317415,49.12707263,Brachyramphus_perdix,0,0,0,0,0,0,absence,Russia,Europe,Eastern Europe
-101.0023485,73.16282193,Branta_bernicla,0,0,0,0,0,0,absence,Canada,Americas,Northern America
0.065363268,72.77353335,Branta_leucopsis,0,0,0,0,0,0,absence,High Sea,NA,NA
-157.0489788,20.66977205,Branta_sandvicensis,0,0,0,0,0,0,absence,United States,Americas,Northern America
-127.4396921,72.35051864,Bubo_scandiaca,0,0,0,0,0,0,absence,Canada,Americas,Northern America
108.7844987,0.045643431,Bubo_sumatranus,0,0,0,0,0,0,absence,Indonesia,Asia,South-Eastern Asia
0.038616947,4.108791558,Bubulcus_ibis,0,0,0,0,0,0,absence,High Sea,NA,NA
123.4823397,11.35612227,Buceros_hydrocorax,1,0,0,0,0,0,sc,Philippines,Asia,South-Eastern Asia
108.7291733,0.144941174,Buceros_rhinoceros,1,0,0,0,0,0,sc,Indonesia,Asia,South-Eastern Asia
-155.7039629,13.83618724,Bulweria_bulwerii,0,0,0,0,0,0,absence,United States,Oceania,Polynesia
61.54347431,6.818000575,Bulweria_fallax,0,0,0,0,0,0,absence,High Sea,NA,NA
-72.03242958,-21.34186489,Buteo_albigula,0,0,0,0,0,0,absence,High Sea,NA,NA
10.88592867,67.15198283,Buteo_lagopus,0,0,0,0,0,0,absence,Norway,Europe,Northern Europe
-94.6547145,19.92324055,Buteogallus_anthracinus,0,0,0,0,0,0,absence,Mexico,Americas,Central America
120.8068548,10.01884762,Cacatua_haematuropygia,0,0,0,0,0,0,absence,Philippines,Asia,South-Eastern Asia
121.3593574,-4.234658207,Cacatua_sulphurea,0,0,0,0,0,0,absence,Philippines,Asia,South-Eastern Asia
94.31815781,15.14454659,Cacomantis_sonneratii,0,0,0,0,0,0,absence,India,Asia,Southern Asia
141.2153253,-16.04878045,Cacomantis_variolosus,1,0,0,0,0,0,sc,Northern Mariana Islands,Oceania,Micronesia
-99.55465777,70.42542206,Calidris_fuscicollis,0,0,0,0,0,0,absence,Canada,Americas,Northern America
-7.861997714,71.56316162,Calidris_maritima,0,0,0,0,0,0,absence,High Sea,NA,NA
-13.98995246,69.87251354,Calidris_melanotos,0,0,0,0,0,0,absence,Greenland,Americas,Northern America
-171.909059,64.53215517,Calidris_ptilocnemis,0,0,0,0,0,0,absence,United States,Americas,Northern America
-76.4206671,24.15579965,Calliphlox_evelynae,1,0,0,0,0,0,sc,Bahamas,Americas,Caribbean
-76.4206671,24.15579965,Calliphlox_lyrura,1,0,0,0,0,0,sc,Bahamas,Americas,Caribbean
127.4671499,-0.338763735,Caloenas_nicobarica,1,0,0,0,0,0,sc,Indonesia,Asia,South-Eastern Asia
-19.92839899,3.535791033,Calonectris_diomedea,0,0,0,0,0,0,absence,High Sea,NA,NA
-25.94398099,11.23500557,Calonectris_edwardsii,0,0,0,0,0,0,absence,Cape Verde,Africa,Western Africa
138.9557422,7.399787806,Calonectris_leucomelas,0,0,0,0,0,0,absence,Australia,Oceania,Australia and New Zealand
-77.52403202,3.160818297,Capito_quinticolor,0,0,0,0,0,0,absence,Colombia,Americas,South America
94.33523156,17.32781789,Caprimulgus_affinis,0,0,0,0,0,0,absence,India,Asia,Southern Asia
-80.21263562,-3.102091975,Caprimulgus_anthonyi,0,0,0,0,0,0,absence,Panama,Americas,Central America
80.45967214,14.87836937,Caprimulgus_atripennis,0,0,0,0,0,0,absence,Sri Lanka,Asia,Southern Asia
123.0862708,0.281863442,Caprimulgus_celebensis,0,0,0,0,0,0,absence,Philippines,Asia,South-Eastern Asia
110.7552324,7.667868257,Caprimulgus_macrurus,0,0,0,0,0,0,absence,Indonesia,Asia,South-Eastern Asia
121.1958613,-8.982220713,Caprimulgus_meesi,0,0,0,0,0,0,absence,Philippines,Asia,South-Eastern Asia
-1.789710975,36.02630014,Caprimulgus_ruficollis,0,0,0,0,0,0,absence,Spain,Europe,Southern Europe
119.2773178,-8.596366304,Caridonax_fulgidus,1,1,0,0,1,1,blue,Indonesia,Asia,South-Eastern Asia
-55.28364428,-51.27790335,Catharacta_antarcticus,0,0,0,0,0,0,absence,High Sea,NA,NA
0.746374902,65.92631193,Catharacta_skua,0,0,0,0,0,0,absence,High Sea,NA,NA
158.8705881,-8.959384149,Centropus_milo,1,0,0,0,0,0,sc,Solomon Islands,Oceania,Melanesia
93.64944038,18.19674418,Centropus_sinensis,1,0,0,0,0,0,sc,India,Asia,Southern Asia
146.5621232,51.50973207,Cepphus_carbo,0,0,0,0,0,0,absence,High Sea,NA,NA
-32.60916968,67.76626923,Cepphus_grylle,0,0,0,0,0,0,absence,Greenland,Americas,Northern America
-160.0626836,50.07004885,Cerorhinca_monocerata,0,0,0,0,0,0,absence,High Sea,NA,NA
102.8046217,9.032386659,Ceyx_erithaca,1,1,0,1,1,2,multi,Cambodia,Asia,South-Eastern Asia
-61.2737674,15.10511511,Chaetura_martinica,0,0,0,0,0,0,absence,Dominica,Americas,Caribbean
108.9288666,8.19593311,Chalcophaps_indica,1,1,0,0,1,1,blue,Indonesia,Asia,South-Eastern Asia
158.0063502,-7.904029874,Chalcopsitta_cardinalis,1,0,0,0,0,0,sc,Solomon Islands,Oceania,Melanesia
158.2539387,-38.54201847,Charadrius_bicinctus,0,0,0,0,0,0,absence,Solomon Islands,Oceania,Melanesia
40.81302007,71.02960571,Charadrius_hiaticula,0,0,0,0,0,0,absence,Russia,Europe,Eastern Europe
-78.03074931,15.12597052,Charadrius_wilsonia,0,0,0,0,0,0,absence,Colombia,Americas,South America
158.6079372,-8.179013779,Charmosyna_margarethae,1,0,1,0,1,1,green,Solomon Islands,Oceania,Melanesia
157.4260113,-7.308880788,Charmosyna_meeki,1,0,1,0,1,1,green,Solomon Islands,Oceania,Melanesia
167.3816695,-15.47168266,Charmosyna_palmarum,1,0,1,0,1,1,green,Vanuatu,Oceania,Melanesia
-91.81215076,72.48883728,Chen_caerulescens,0,0,0,0,0,0,absence,Canada,Americas,Northern America
-178.9802877,65.50503398,Chen_canagica,1,1,0,0,1,1,blue,Russia,Europe,Northern Europe
67.76426465,-49.28451605,Chionis_minor,0,0,0,0,0,0,absence,French Southern and Antarctic Lands,Antarctica,NA
59.55290267,10.90813942,Chlidonias_hybrida,0,0,0,0,0,0,absence,Ethiopia,Africa,Eastern Africa
-12.68158574,51.3616792,Chlidonias_niger,0,0,0,0,0,0,absence,Ireland,Europe,Northern Europe
-67.06704287,-52.76624483,Chloephaga_rubidiceps,1,0,0,0,0,0,sc,Falkland Islands (Malvinas),Americas,South America
130.3198866,-12.25228291,Chrysococcyx_minutillus,1,0,0,0,0,0,sc,Australia,Oceania,Australia and New Zealand
106.1574568,8.772153726,Chrysococcyx_xanthorhynchus,1,0,0,0,0,0,sc,Viet Nam,Asia,South-Eastern Asia
29.74459634,41.68694985,Ciconia_ciconia,0,0,0,0,0,0,absence,Turkey,Asia,Western Asia
108.7759349,0.263026424,Ciconia_stormi,1,0,0,0,0,0,sc,Indonesia,Asia,South-Eastern Asia
4.961227086,56.89368231,Circus_cyaneus,0,0,0,0,0,0,absence,High Sea,NA,NA
4.961227086,56.89368231,Circus_hudsonius,0,0,0,0,0,0,absence,High Sea,NA,NA
122.1993881,-0.749106871,Cittura_cyanotis,1,1,0,0,1,1,blue,Philippines,Asia,South-Eastern Asia
