Wavelength[nm];Acvu1;Acvu2;Acvu3;Agag1;Agag2;Agag3;Alsc_db1 ;Alsc_db2 ;Alsc_db3 ;Alsc_dg1;Alsc_dg2;Alsc_dg3;Alsc_lb1;Alsc_lb2;Alsc_lb3;Amgu_p1 ;Amgu_p2 ;Amgu_p3 ;Amgu1 ;Amgu2 ;Amgu3 ;Cisa1;Cisa2;Cisa3;Cobe_db1 ;Cobe_db2 ;Cobe_db3 ;Cobe_lb1 ;Cobe_lb2 ;Cobe_lb3 ;Cypa_b1;Cypa_b2;Cypa_b3;Nesp_b1;Nesp_b2;Nesp_b3;Nesp_db1;Nesp_db2;Nesp_db3;Poma_b1;Poma_b2;Poma_b3;Poma_p1;Poma_p2;Poma_p3;Psch1;Psch2;Psch3;Psoo1;Psoo2;Psoo3;Psro_b1 ;Psro_b2 ;Psro_b3 ;Pymo1 ;Pymo2 ;Pymo3 ;Tasy1;Tasy2;Tasy3
300,012;25,85253338;24,24528518;30,09794373;23,31849062;16,15584188;20,43609667;13,71211956;10,81949448;17,86509569;9,714470457;5,606554232;11,02851257;5,868534381;23,71096854;21,70288709;17,26317733;13,17295696;12,33999137;14,1264044;13,8580935;18,75250827;11,08476925;14,89606875;9,682672923;4,264380523;3,930947314;5,082277013;11,1653407;18,63574179;11,41544511;25,84428187;13,64451708;12,95949885;3,902767438;3,668637258;3,947085239;3,591762559;3,328521594;3,426845114;9,803357517;8,16297563;3,026954781;6,775465248;6,258039394;5,883205914;3,499058075;3,977444691;3,529388912;7,055109286;3,229793049;5,607178845;5,498517637;4,463958667;6,923046666;9,638470349;10,61894471;7,82930178;8,759138882;13,6970162;15,38792072
300,608;26,35272274;24,86471524;30,79134086;23,56297045;16,32095918;20,65984495;13,81925127;10,94733986;18,03643858;9,750904146;5,6312376;11,14442943;5,966219333;24,04996651;21,8412492;17,35649293;13,30645864;12,45522592;14,29125263;14,16779417;19,04390638;11,24880935;14,95485923;9,835720477;4,325949468;4,032642132;5,164782378;11,32826383;18,80632017;11,58233751;25,87844559;13,63428535;12,97203722;3,911217968;3,68193518;3,950823611;3,593913597;3,328203641;3,406354212;9,936367394;8,290065324;3,057843561;6,847599211;6,309958493;5,857535954;3,449266852;4,027294308;3,544303004;7,169315877;3,390185604;5,713615929;5,582719257;4,669763619;7,098978284;9,659513667;10,82177682;7,918125808;8,819029136;13,97164918;15,45043547
301,205;26,96396637;25,21518742;31,21175833;23,51772657;16,27314714;20,69010819;13,87609598;10,9467298;18,24662467;9,790371921;5,606559472;11,08173879;5,99680696;24,30032428;22,05345522;17,74399315;13,58474408;12,76461673;14,52580676;14,38419843;19,43275594;11,34523193;15,10779107;9,979778379;4,408963111;4,119005874;5,318013766;11,61077181;19,15298369;11,71833334;25,962334;13,91852643;13,20198;3,958238672;3,723351106;3,988376456;3,612499378;3,332693281;3,423417694;9,860453725;8,19613511;3,037861616;6,871325825;6,310863341;5,945442095;3,464423773;3,977139675;3,497049668;7,329078672;3,44482371;5,86307147;5,948076261;4,822703198;7,401260465;9,754301302;10,94267416;8,042796218;8,912360009;14,10306295;15,71663699
301,801;27,33993011;25,74771758;31,86408616;23,80933342;16,38902853;20,80261257;14,01179314;11,04363079;18,317415;9,868655908;5,731424434;11,15796746;6,071312469;24,57673014;22,16932726;18,02499275;13,82064302;12,96201306;14,81050532;14,63137746;19,82904314;11,44536134;15,03761402;10,07272417;4,455813913;4,115171016;5,371521857;11,80991689;19,42399552;11,85977866;26,22052177;13,98717001;13,22104937;4,0022326;3,784132596;4,055345317;3,677146766;3,35940325;3,506465614;9,941342935;8,219443988;3,118974576;6,974146086;6,406037793;5,996784986;3,503467921;4,041144865;3,57460776;7,379637676;3,5051753;6,014394458;6,099481609;4,911134128;7,544503722;9,674430583;11,08006067;8,01827718;8,989037932;14,28537671;15,81095302
302,397;27,82921135;26,1568823;32,4667924;23,87052528;16,39829793;20,85242182;14,00371757;11,14789689;18,34946965;9,981121309;5,680366279;11,25356268;6,12708006;24,64602961;22,13864116;18,33217391;13,934427;13,15942004;15,05118156;14,91371786;20,06121061;11,7154762;15,34248331;10,26268792;4,558129146;4,226897036;5,457010228;12,05843088;19,63020048;11,94654857;26,42682199;14,11535518;13,39190714;4,001610588;3,766688766;4,066192373;3,614033126;3,345385682;3,46136184;10,02384765;8,325881137;3,159587642;6,974730715;6,496988626;6,082915042;3,504587985;4,032692358;3,518889822;7,67346577;3,729900439;6,235816487;6,192305068;5,139544204;7,643048314;9,756588604;11,25426296;8,161923754;9,169540767;14,67794389;16,19347595
302,993;28,37682405;26,78301823;32,85870929;23,93693339;16,526513;20,97373638;14,15711716;11,24231575;18,51427453;10,03896071;5,77052735;11,32999058;6,178202782;24,95091362;22,25864814;18,62869409;14,34440165;13,49873867;15,39998735;15,19319835;20,47440394;11,87087998;15,4095017;10,367459;4,644190886;4,335832768;5,526073712;12,37996942;19,85001949;12,21402169;26,73108809;14,37674255;13,59544059;4,108763999;3,833720659;4,134635098;3,671197244;3,399606642;3,460103261;10,1019767;8,459738583;3,243334431;7,166488145;6,607456367;6,230576753;3,571622008;4,104418332;3,599282823;7,802554778;3,814377899;6,416825576;6,445532886;5,332581009;7,997781705;9,786119131;11,45049223;8,162898235;9,241741454;14,85498793;16,48488402
303,589;29,0086085;27,21262671;33,45762062;24,14453883;16,64040685;21,09909818;14,23243601;11,28956566;18,60128423;10,09515163;5,781538811;11,36764046;6,230410721;25,07954477;22,40142868;19,00841022;14,59566385;13,79701867;15,83487883;15,55672798;20,88037884;11,96857034;15,49382334;10,4720366;4,746908338;4,406020382;5,664393414;12,60975248;20,08438179;12,38051347;27,06482321;14,52302381;13,79316677;4,078042138;3,828169446;4,127037177;3,712584038;3,428924808;3,507458594;10,04606139;8,509181177;3,227891444;7,180997363;6,619412546;6,193940925;3,560398713;4,083394998;3,588812003;8,011778724;3,876961291;6,433920449;6,565151105;5,544923666;8,235018965;9,801637328;11,54836914;8,218905978;9,3179795;14,99151202;16,64741943
304,186;29,45060382;27,71176085;33,97186058;24,15338015;16,67804913;21,17205248;14,20832785;11,23509354;18,67519668;10,11473029;5,714365183;11,3662034;6,187608911;25,06982318;22,43557419;19,33616319;14,92222576;14,02750673;16,03620401;15,83229785;21,28069597;12,06200075;15,652197;10,61981434;4,7960505;4,475956594;5,658063736;12,87910976;20,39226689;12,52331639;27,0959187;14,71041623;13,88615464;4,080979216;3,879225291;4,148982514;3,716567035;3,39419504;3,4940399;10,15004553;8,55359321;3,254692817;7,201895085;6,654950982;6,268713963;3,517185013;4,077935015;3,585000362;8,142759358;3,956079138;6,703419247;6,761532812;5,718533835;8,439603262;9,914892231;11,62890838;8,30869452;9,405169515;15,19625705;16,93902489
304,782;30,0672;28,37056808;34,54896494;24,38662912;16,73823133;21,24926175;14,21386851;11,34450428;18,83924828;10,10700364;5,729159744;11,43644744;6,302433069;25,10601333;22,39135251;19,49342734;15,06628054;14,22648812;16,31261006;16,07748336;21,60280634;12,31917399;15,72596973;10,6603944;4,901608243;4,538806463;5,756308238;13,1563224;20,64859545;12,67621503;27,19652322;14,76129129;13,96895228;4,169301783;3,92594719;4,209826383;3,771923405;3,430485763;3,519042561;10,17041105;8,538720238;3,347692279;7,168151429;6,665075975;6,333825269;3,583545467;4,083851284;3,602555191;8,323298898;4,219615486;6,955360227;6,950316491;5,855909468;8,50958025;9,862814673;11,80001479;8,352428744;9,5154471;15,5349482;17,03746282
305,378;30,59341755;28,80343226;35,07730945;24,49415063;16,88569062;21,34753742;14,32946772;11,38832041;18,87721507;10,14071549;5,719231452;11,42804627;6,333015123;25,32619345;22,43892962;20,00887;15,40492115;14,60842925;16,71554225;16,4603442;22,08745719;12,40825954;15,82922097;10,82904048;5,017002527;4,572859327;5,801645883;13,44826099;20,92019679;12,83608629;27,51995813;15,08041885;14,15356793;4,144358566;3,912679716;4,207441131;3,700986455;3,396512528;3,528301767;10,31079773;8,662529171;3,428777132;7,301036643;6,77384088;6,45843749;3,568194725;4,077704397;3,569733686;8,480463077;4,310277618;7,131236963;7,181446603;6,045833737;8,810586282;9,913640011;11,82950823;8,417193316;9,625112495;15,68076489;17,38271724
